=== ТУРНИР: SMART VS PRIMITIVE (ТОЧНОЕ ВРЕМЯ) ===

--- ПАРТИЯ #1 ---
Ход 24  | PRIM(B) : [5,6]->[4,7] | Осталось: 240 сек
Ход 25  | SMART(W): [7,0]->[7,6] ⚔️ Съел: [Шашка] | Осталось: 54 сек
Ход 26  | PRIM(B) : [4,5]->[3,4] | Осталось: 240 сек
Ход 27  | SMART(W): [0,7]->[0,6] | Осталось: 54 сек
   [!] Штраф: потерян KNIGHT (-10 сек). Осталось: 44 сек
Ход 28  | PRIM(B) : [3,4]->[1,6] ⚔️ Съел: [KNIGHT (-10s)] | Осталось: 240 сек
Ход 29  | SMART(W): [0,6]->[1,6] ⚔️ Съел: [Шашка] | Осталось: 44 сек
Ход 30  | PRIM(B) : [2,3]->[1,4] | Осталось: 240 сек
Ход 31  | SMART(W): [0,1]->[2,0] | Осталось: 44 сек
Ход 32  | PRIM(B) : [4,7]->[3,6] | Осталось: 240 сек
Ход 33  | SMART(W): [0,3]->[1,4] ⚔️ Съел: [Шашка] | Осталось: 44 сек
Ход 34  | PRIM(B) : [3,6]->[2,7] | Осталось: 240 сек
   [!] ВНИМАНИЕ: Шах! Штраф -20 сек. Осталось: 24 сек
Ход 35  | SMART(W): [1,3]->[2,3] | Осталось: 24 сек
   [!] Штраф: потерян ROOK (-10 сек). Осталось: 14 сек
Ход 36  | PRIM(B) : [2,7]->[0,5] ⚔️ Съел: [ROOK (-10s)] | Осталось: 240 сек
Ход 37  | SMART(W): [0,4]->[0,5] ⚔️ Съел: [Дамка] | Осталось: 14 сек

ИТОГ ПАРТИИ: Шахматы уничтожили все шашки!
==================================

--- ПАРТИЯ #4 ---
Ход 1   | SMART(W): [1,4]->[2,4] | Осталось: 59 сек
Ход 2   | PRIM(B) : [5,0]->[4,1] | Осталось: 240 сек
Ход 3   | SMART(W): [1,6]->[2,6] | Осталось: 59 сек
Ход 4   | PRIM(B) : [5,4]->[4,3] | Осталось: 240 сек
Ход 5   | SMART(W): [0,5]->[2,7] | Осталось: 58 сек
Ход 6   | PRIM(B) : [4,3]->[3,2] | Осталось: 240 сек
Ход 7   | SMART(W): [1,0]->[3,0] | Осталось: 58 сек
Ход 8   | PRIM(B) : [5,6]->[4,7] | Осталось: 240 сек
Ход 9   | SMART(W): [2,7]->[4,7] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 10  | PRIM(B) : [6,5]->[5,4] | Осталось: 240 сек
Ход 11  | SMART(W): [4,7]->[6,7] ⚔️ Съел: [Шашка] | Осталось: 54 сек
Ход 12  | PRIM(B) : [5,2]->[4,3] | Осталось: 240 сек
Ход 13  | SMART(W): [3,0]->[4,1] ⚔️ Съел: [Шашка] | Осталось: 53 сек
   [!] Штраф: потерян PAWN (-1 сек). Осталось: 52 сек
Ход 14  | PRIM(B) : [3,2]->[5,0] ⚔️ Съел: [PAWN (-1s)] | Осталось: 240 сек
Ход 15  | SMART(W): [0,0]->[5,0] ⚔️ Съел: [Шашка] | Осталось: 52 сек
Ход 16  | PRIM(B) : [5,4]->[4,5] | Осталось: 240 сек
Ход 17  | SMART(W): [5,0]->[7,0] ⚔️ Съел: [Шашка] | Осталось: 50 сек
Ход 18  | PRIM(B) : [4,3]->[3,4] | Осталось: 240 сек
Ход 19  | SMART(W): [7,0]->[7,2] ⚔️ Съел: [Шашка] | Осталось: 50 сек
Ход 20  | PRIM(B) : [7,4]->[6,5] | Осталось: 240 сек
Ход 21  | SMART(W): [7,2]->[7,6] ⚔️ Съел: [Шашка] | Осталось: 49 сек
Ход 22  | PRIM(B) : [6,5]->[5,4] | Осталось: 240 сек
Ход 23  | SMART(W): [1,3]->[2,3] | Осталось: 49 сек
Ход 24  | PRIM(B) : [6,1]->[5,0] | Осталось: 240 сек
Ход 25  | SMART(W): [2,3]->[3,4] ⚔️ Съел: [Шашка] | Осталось: 49 сек
   [!] Штраф: потерян PAWN (-1 сек). Осталось: 48 сек
Ход 26  | PRIM(B) : [4,5]->[2,3] ⚔️ Съел: [PAWN (-1s)] | Осталось: 240 сек
Ход 27  | SMART(W): [0,4]->[4,0] | Осталось: 47 сек
Ход 28  | PRIM(B) : [6,3]->[5,2] | Осталось: 240 сек
Ход 29  | SMART(W): [4,0]->[5,0] ⚔️ Съел: [Шашка] | Осталось: 47 сек
Ход 30  | PRIM(B) : [5,4]->[4,3] | Осталось: 240 сек
Ход 31  | SMART(W): [1,2]->[2,3] ⚔️ Съел: [Шашка] | Осталось: 47 сек
Ход 32  | PRIM(B) : [4,3]->[3,4] | Осталось: 240 сек
Ход 33  | SMART(W): [0,1]->[1,3] | Осталось: 47 сек
   [!] Штраф: потерян PAWN (-1 сек). Осталось: 46 сек
Ход 34  | PRIM(B) : [3,4]->[1,2] ⚔️ Съел: [PAWN (-1s)] | Осталось: 240 сек
Ход 35  | SMART(W): [0,3]->[1,2] ⚔️ Съел: [Шашка] | Осталось: 46 сек
Ход 36  | PRIM(B) : [5,2]->[4,3] | Осталось: 240 сек
Ход 37  | SMART(W): [0,6]->[1,4] | Осталось: 46 сек
Ход 38  | PRIM(B) : [4,3]->[3,4] | Осталось: 240 сек
Ход 39  | SMART(W): [0,7]->[0,6] | Осталось: 46 сек
Ход 40  | PRIM(B) : [3,4]->[2,3] | Осталось: 240 сек
   [!] ВНИМАНИЕ: Шах! Штраф -20 сек. Осталось: 26 сек
Ход 41  | SMART(W): [1,2]->[0,1] | Осталось: 26 сек
   [!] Штраф: потерян KNIGHT (-10 сек). Осталось: 16 сек
Ход 42  | PRIM(B) : [2,3]->[0,5] ⚔️ Съел: [KNIGHT (-10s)] | Осталось: 240 сек
Ход 43  | SMART(W): [0,1]->[0,0] | Осталось: 16 сек
Ход 44  | PRIM(B) : [0,5]->[4,1] | Осталось: 240 сек
